latency(lag),total size,packet,time_stamp,err_rate
5297,37841476241,100000032,28461.05,0
5296,37841799104,100000032,28477.39,0
5297,37845148226,100000032,28493.73,0
5297,37845007426,100000032,28510.07,0
5294,37841272271,100000032,28526.40,0
5294,37843176461,100000032,28542.73,0
5294,37842532480,100000032,28559.07,0
5294,37839878728,100000032,28575.40,0
5295,37842643477,100000032,28591.73,0
5296,37844312891,100000032,28608.07,0
5295,37841256966,100000032,28624.41,0
5294,37841873737,100000032,28640.73,0
5295,37845470450,100000032,28657.07,0
5295,37846607229,100000032,28673.41,0
5295,37844255809,100000032,28689.75,0
5295,37846226868,100000032,28706.09,0
5295,37844911435,100000032,28722.42,0
5294,37843268725,100000032,28738.76,0
5294,37841861955,100000032,28755.09,0
5295,37842695251,100000032,28771.43,0
5295,37844719933,100000032,28787.76,0
5296,37843283485,100000032,28804.10,0
5295,37842264871,100000032,28820.43,0
5296,37842882043,100000032,28836.77,0
5295,37842554889,100000032,28853.10,0
5295,37839815761,100000032,28869.43,0
5297,37843472631,100000032,28885.77,0
5300,37847868467,100000032,28902.11,0
5296,37842331506,100000032,28918.45,0
5295,37838916208,100000032,28934.78,0
5294,37838622527,100000032,28951.10,0
5294,37835508704,100000032,28967.43,0
5294,37838631104,100000032,28983.76,0
5299,37845971149,100000032,29000.10,0
5299,37844350675,100000032,29016.43,0
5298,37842254173,100000032,29032.77,0
5297,37839423615,100000032,29049.10,0
5296,37840171185,100000032,29065.44,0
5295,37840761129,100000032,29081.77,0
5296,37839423661,100000032,29098.10,0
5296,37838694150,100000032,29114.43,0
5297,37841835688,100000032,29130.76,0
5297,37844829064,100000032,29147.10,0
5296,37843351864,100000032,29163.44,0
5295,37844240531,100000032,29179.77,0
5295,37842954493,100000032,29196.11,0
5293,37838892510,100000032,29212.44,0
5295,37842310028,100000032,29228.77,0
5295,37841738351,100000032,29245.11,0
5294,37839874390,100000032,29261.43,0
5293,37841129685,100000032,29277.77,0
5294,37843178368,100000032,29294.10,0
5295,37844940477,100000032,29310.44,0
5294,37840947242,100000032,29326.77,0
5295,37843690439,100000032,29343.11,0
5295,37845181100,100000032,29359.45,0
5294,37842281387,100000032,29375.78,0
5295,37841360883,100000032,29392.11,0
5295,37843351248,100000032,29408.45,0
5296,37843593351,100000032,29424.79,0
5295,37843140354,100000032,29441.11,0
5295,37843056599,100000032,29457.45,0
5295,37843666630,100000032,29473.79,0
5296,37840071584,100000032,29490.13,0
5300,37847869822,100000032,29506.46,0
5298,37842729935,100000032,29522.80,0
5296,37841703616,100000032,29539.13,0
5296,37840306066,100000032,29555.47,0
5295,37838952331,100000032,29571.80,0
5296,37839736802,100000032,29588.13,0
5298,37843449004,100000032,29604.47,0
5301,37845098155,100000032,29620.80,0
5299,37843875245,100000032,29637.14,0
5297,37840978221,100000032,29653.48,0
5296,37839577206,100000032,29669.81,0
5296,37841557088,100000032,29686.14,0
5296,37840606911,100000032,29702.47,0
5297,37841149675,100000032,29718.80,0
5297,37844209474,100000032,29735.14,0
5296,37841850636,100000032,29751.48,0
5295,37840050019,100000032,29767.81,0
5294,37842436848,100000032,29784.14,0
5295,37844615760,100000032,29800.48,0
5295,37841509703,100000032,29816.81,0
5296,37844795272,100000032,29833.15,0
5295,37842711489,100000032,29849.48,0
5294,37842045207,100000032,29865.82,0
5293,37840944459,100000032,29882.14,0
5294,37844260615,100000032,29898.48,0
5296,37847076928,100000032,29914.82,0
5295,37843924409,100000032,29931.16,0
5297,37846295593,100000032,29947.50,0
5296,37846427074,100000032,29963.84,0
5295,37843330378,100000032,29980.17,0
5296,37844282606,100000032,29996.51,0
5297,37845668107,100000032,30012.85,0
5297,37842792036,100000032,30029.18,0
5296,37845640436,100000032,30045.52,0
5296,37843614761,100000032,30061.86,0
5296,37841994498,100000032,30078.19,0
5297,37844587294,100000032,30094.53,0
5300,37847568841,100000032,30110.87,0
5298,37844201292,100000032,30127.20,0
5296,37842488193,100000032,30143.54,0
5296,37839893532,100000032,30159.88,0
5296,37840298050,100000032,30176.21,0
5298,37842737442,100000032,30192.54,0
5300,37846292640,100000032,30208.88,0
5301,37844769317,100000032,30225.23,0
5297,37841103302,100000032,30241.56,0
5296,37839798866,100000032,30257.89,0
5297,37843202630,100000032,30274.22,0
5296,37841523631,100000032,30290.56,0
5296,37838847828,100000032,30306.89,0
5297,37842031881,100000032,30323.22,0
5297,37844537996,100000032,30339.56,0
5296,37843397131,100000032,30355.90,0
5295,37841745971,100000032,30372.22,0
5295,37843368920,100000032,30388.56,0
