latency(lag),total size,packet,time_stamp,err_count,success_count
3870,37609906719,100000004,11626.82,810939,98733018
3870,37609753516,100000008,11658.95,812850,98731134
3871,37610426842,100000004,11691.06,812928,98731000
3875,37610335891,100000008,11723.18,812928,98731045
3870,37610124839,100000012,11755.29,812914,98731063
3870,37610363504,100000004,11787.42,812870,98731155
3868,37610084911,100000004,11819.53,812179,98731790
3871,37609926173,100000004,11851.65,811413,98732566
3871,37609682131,100000004,11883.77,812928,98731032
3870,37610593881,100000004,11915.88,812928,98730999
3873,37610510969,100000004,11948.00,812928,98731069
3870,37610124952,100000012,11980.13,812895,98731081
3870,37610414161,100000004,12012.24,812851,98731152
3868,37609788887,100000008,12044.36,811534,98732450
3868,37609791062,100000004,12076.48,812096,98731874
3868,37609933139,100000010,12108.60,812928,98731018
3868,37610635615,100000002,12140.72,812928,98731007
3869,37610333134,100000004,12172.83,812926,98731065
3869,37610340233,100000004,12204.95,812875,98731133
3870,37610161140,100000004,12237.07,812780,98731207
3870,37609950370,100000004,12269.19,810962,98732999
3869,37609775773,100000003,12301.30,812761,98731215
3868,37610325940,100000001,12333.43,812928,98731004
3869,37610460622,100000004,12365.54,812928,98731035
3870,37610010744,100000004,12397.65,812916,98731046
3871,37610359584,100000012,12429.77,812872,98731163
3871,37610170737,100000004,12461.89,812267,98731711
3871,37609852295,100000004,12494.01,811321,98732657
3870,37609692496,100000012,12526.13,812928,98731034
3870,37610600865,100000008,12558.24,812928,98731006
3870,37610428406,100000016,12590.37,812928,98731079
3871,37610237943,100000008,12622.48,812898,98731075
3870,37610327403,100000004,12654.60,812854,98731153
3869,37609856927,100000012,12686.72,811635,98732347
3868,37609870467,100000004,12718.83,811989,98731981
3869,37609826380,100000004,12750.96,812928,98731021
3870,37610616402,100000004,12783.07,812928,98731001
3871,37610526240,100000004,12815.19,812928,98731065
3870,37610247756,100000012,12847.31,812873,98731142
3870,37610123272,100000004,12879.43,812825,98731158
3870,37610057582,100000004,12911.54,811020,98732947
3870,37609759281,100000004,12943.66,812658,98731321
3870,37610143824,100000008,12975.78,812928,98731010
3870,37610443207,100000008,13007.90,812928,98731038
3871,37610094032,100000004,13040.02,812920,98731042
3869,37610282871,100000012,13072.14,812874,98731156
3869,37610284686,100000004,13104.25,812322,98731656
3869,37609926146,100000008,13136.37,811260,98732731
3870,37609757321,100000004,13168.48,812928,98731024
3870,37610546560,100000004,13200.60,812928,98730991
3873,37610315653,100000012,13232.72,812928,98731083
3870,37610315683,100000004,13264.84,812898,98731067
3870,37610272609,100000004,13296.96,812855,98731159
3870,37609843984,100000004,13329.08,811693,98732280
3870,37609898111,100000008,13361.20,811930,98732042
3869,37609918165,100000008,13393.31,812928,98731027
3870,37610411966,100000004,13425.44,812928,98730999
3870,37610598441,100000012,13457.55,812928,98731075
3871,37610225697,100000008,13489.67,812874,98731138
3871,37610124054,100000016,13521.79,812846,98731145
3870,37610034920,100000012,13553.90,811086,98732891
3869,37609775312,100000016,13586.03,812570,98731406
